sat_id,x,y,z,Vx,Vy,Vz
150,3,3,1,3,3,3
151,2,2,1,2,1,1
152,1,3,3,1,3,3
153,2,2,2,3,3,3
154,2,2,2,3,2,1
155,2,2,2,2,2,2
156,1,3,1,2,2,3
157,3,3,3,3,3,3
158,3,3,3,3,3,3
159,2,2,1,1,2,2
160,1,3,3,3,3,3
161,3,2,2,3,1,1
162,1,3,2,1,1,2
163,3,1,1,3,3,3
164,3,3,3,1,1,3
165,3,3,1,3,3,3
166,3,3,3,3,1,2
167,1,3,3,2,3,3
168,3,3,3,3,3,3
169,1,1,1,1,1,1
170,3,3,3,1,1,3
171,3,1,3,1,1,2
172,1,1,1,1,2,1
173,1,1,1,1,1,1
174,1,1,1,1,1,1
175,1,5,1,5,5,2
176,3,3,3,1,3,1
177,3,1,1,2,2,3
178,1,1,3,1,1,3
179,1,2,1,3,2,1
180,1,1,1,3,1,1
181,1,3,3,3,3,3
182,1,1,3,1,1,3
183,3,3,3,1,1,3
184,1,3,3,1,3,3
185,1,1,1,1,1,3
186,3,3,2,3,1,2
187,1,1,2,1,1,2
188,2,1,2,2,2,2
189,1,1,1,1,1,1
190,2,2,2,2,1,3
191,1,3,1,3,1,1
192,1,1,3,1,1,1
193,3,3,3,3,3,3
194,2,2,2,5,2,1
195,2,1,2,5,1,2
196,3,3,3,3,3,3
197,1,1,3,1,1,1
198,1,2,1,3,1,3
199,3,3,3,1,3,1
200,3,3,1,3,1,3
201,3,3,3,3,1,3
202,2,2,2,3,3,3
203,3,3,3,3,3,3
204,3,1,3,1,2,2
205,1,1,1,1,1,1
206,3,3,3,1,3,2
207,3,1,3,2,3,2
208,1,1,1,1,1,1
209,1,3,3,1,1,1
210,3,1,3,1,3,3
211,1,1,3,1,1,3
212,1,1,1,1,1,1
213,2,2,2,2,2,1
214,3,1,3,1,1,3
215,3,3,3,1,3,1
216,1,3,3,3,3,3
217,1,3,3,2,1,2
218,3,3,1,3,3,3
219,1,3,1,1,1,1
220,1,3,3,3,1,1
221,3,2,3,1,3,1
222,3,1,3,3,3,3
223,2,2,3,1,2,1
224,2,3,2,2,2,2
225,3,1,1,1,1,1
226,1,2,1,1,2,3
227,1,3,3,1,1,1
228,1,1,3,1,3,1
229,1,1,1,1,1,1
230,5,2,5,2,2,1
231,1,2,2,2,2,2
232,1,1,3,1,1,1
233,3,3,3,3,3,3
234,1,1,1,1,1,1
235,1,2,2,5,5,2
236,3,3,2,3,1,2
237,1,3,3,1,3,1
238,3,3,1,3,3,3
239,1,1,3,1,1,1
240,1,3,3,1,1,1
241,2,2,2,5,2,2
242,3,3,3,1,1,2
243,1,1,2,1,1,1
244,1,3,3,1,1,1
245,3,1,3,3,3,3
246,2,1,1,2,3,1
247,1,2,2,2,2,1
248,1,2,1,2,5,1
249,3,3,3,5,3,5
250,2,1,1,2,2,1
251,2,3,2,2,1,2
252,1,2,3,2,5,1
253,1,1,1,3,1,1
254,3,3,3,3,3,3
255,1,1,2,1,1,1
256,1,2,1,2,1,2
257,2,2,1,2,2,2
258,2,1,1,5,1,3
259,3,3,3,3,3,3
260,2,2,1,5,5,2
261,1,3,1,1,3,3
262,3,3,1,3,1,3
263,3,1,3,1,1,1
264,2,1,2,1,1,2
265,1,1,1,1,3,1
266,1,3,1,2,1,2
267,1,1,3,3,1,1
268,3,2,3,3,1,3
269,1,1,1,1,1,1
270,3,3,3,3,3,3
271,1,1,2,5,5,5
272,1,1,3,1,1,3
273,1,2,2,2,1,2
274,2,1,2,2,2,2
275,1,1,1,1,1,1
276,1,1,3,1,1,1
277,1,3,1,1,1,2
278,3,1,2,3,1,2
279,3,1,3,1,1,3
280,1,2,1,2,2,2
281,3,3,3,1,1,1
282,2,2,2,1,3,1
283,1,1,1,1,1,1
284,2,2,2,2,2,2
285,1,3,1,1,3,1
286,1,1,1,1,1,1
287,3,1,1,1,3,1
288,3,3,3,3,1,3
289,1,3,1,1,1,1
290,3,3,3,1,3,1
291,2,1,2,2,2,1
292,3,1,3,1,3,3
293,3,3,3,3,1,1
294,1,3,3,3,1,3
295,3,3,3,3,3,3
296,1,3,2,2,1,2
297,1,3,3,1,1,1
298,1,1,1,3,1,3
299,3,3,1,3,1,1
300,3,1,3,1,1,2
301,3,2,3,1,1,3
302,1,1,1,1,1,1
303,1,3,1,1,1,1
304,1,1,1,1,1,1
305,1,1,1,3,3,1
306,3,3,1,3,1,1
307,3,3,3,1,3,1
308,1,2,2,2,2,2
309,1,3,1,2,1,1
310,3,2,2,1,5,2
311,3,3,3,3,3,1
312,3,3,3,1,1,1
313,1,1,1,1,3,3
314,3,3,3,1,1,1
315,2,1,3,2,1,2
316,1,3,1,3,1,3
317,1,1,1,1,1,1
318,1,1,1,2,1,2
319,3,3,3,3,3,3
320,1,1,1,1,1,1
321,3,3,1,1,1,1
322,3,3,1,1,1,1
323,1,1,2,1,1,2
324,3,3,1,1,1,1
325,2,2,2,2,1,1
326,1,3,3,1,1,1
327,1,1,3,3,1,1
328,2,1,2,1,1,2
329,2,2,1,2,1,1
330,3,3,3,1,1,1
331,1,3,3,1,1,1
332,2,2,3,1,1,1
333,3,3,3,3,1,2
334,2,1,2,3,2,2
335,3,1,3,3,3,3
336,1,1,3,3,3,3
337,1,1,1,3,3,3
338,1,1,1,1,1,3
339,1,1,1,1,1,1
340,2,1,1,1,2,1
341,1,1,3,1,1,1
342,1,1,1,1,1,1
343,1,3,3,3,1,1
344,3,3,3,3,1,3
345,1,1,2,1,1,2
346,3,3,3,3,1,3
347,1,3,3,3,1,1
348,2,2,2,2,2,2
349,1,2,1,1,1,1
350,1,1,3,3,3,3
351,2,2,2,3,2,2
352,1,2,1,1,1,1
353,3,3,3,1,1,1
354,3,1,1,3,1,1
355,3,3,1,1,1,1
356,3,3,3,1,1,1
357,3,1,1,3,3,1
358,1,3,1,1,1,1
359,1,1,1,1,1,1
360,1,3,3,3,3,3
361,1,3,3,1,1,1
362,2,2,1,1,1,1
363,3,1,1,1,3,3
364,1,1,3,1,1,2
365,2,2,2,2,5,5
366,2,2,1,1,1,2
367,3,3,3,3,3,3
368,1,2,2,2,3,2
369,1,3,3,1,1,1
370,3,3,3,3,3,1
371,1,2,1,1,1,1
372,1,1,1,1,1,1
373,3,3,3,3,3,3
374,1,1,1,1,3,1
375,2,5,3,3,2,2
376,3,1,1,2,1,1
377,3,3,3,3,3,2
378,1,1,1,3,3,3
379,1,1,1,1,1,1
380,1,1,3,1,1,1
381,2,2,2,1,1,2
382,1,1,1,1,1,1
383,3,2,3,3,1,1
384,3,1,1,1,1,1
385,2,3,1,1,2,2
386,1,1,3,1,1,2
387,1,1,1,2,1,1
388,3,1,1,1,3,1
389,3,3,3,3,3,3
390,1,3,3,1,1,1
391,1,2,1,2,1,2
392,2,2,2,1,2,2
393,1,1,1,1,1,1
394,3,3,3,1,3,1
395,3,3,3,3,3,3
396,1,3,2,2,2,1
397,1,3,3,2,1,2
398,3,3,2,1,3,3
399,1,3,1,1,3,1
400,1,1,1,1,1,1
401,3,3,3,1,3,3
402,1,2,2,2,2,2
403,3,1,3,1,1,1
404,1,1,1,5,1,1
405,1,1,1,3,1,3
406,1,2,2,2,1,1
407,2,2,1,1,2,2
408,3,1,3,1,3,3
409,2,3,3,2,2,2
410,3,1,3,1,1,1
411,1,3,3,3,3,3
412,1,1,2,1,1,2
413,3,3,3,1,1,3
414,3,3,3,1,1,2
415,2,2,2,2,2,2
416,2,2,2,2,1,2
417,2,3,3,3,3,3
418,1,1,1,1,1,1
419,1,1,1,2,1,1
420,1,3,1,1,1,2
421,3,3,2,3,5,2
422,2,2,2,2,5,2
423,1,3,1,3,1,3
424,3,3,3,3,3,1
425,3,3,1,3,1,1
426,1,3,3,1,1,1
427,3,1,1,1,1,3
428,3,1,3,1,3,1
429,1,1,2,1,1,1
430,1,1,1,3,3,1
431,1,1,1,1,1,1
432,2,1,3,1,1,1
433,3,3,3,3,3,3
434,1,1,1,3,1,1
435,2,3,1,1,2,1
436,2,3,3,1,1,1
437,2,1,1,1,2,2
438,3,3,3,1,2,2
439,2,2,1,2,2,3
440,3,2,3,1,1,1
441,2,5,2,2,2,2
442,2,2,2,2,2,2
443,3,3,3,1,3,3
444,3,1,1,3,3,3
445,3,3,3,1,3,3
446,1,1,1,1,1,1
447,2,2,2,2,1,2
448,2,2,2,1,2,3
449,3,1,1,1,3,1
450,3,3,3,2,3,3
451,1,1,3,3,5,5
452,2,3,3,1,2,1
453,1,1,1,1,1,1
454,1,2,2,2,1,5
455,1,1,1,1,1,1
456,3,3,3,2,1,1
457,3,3,3,3,1,3
458,1,1,3,1,3,1
459,1,3,3,1,3,1
460,3,3,3,1,1,1
461,2,2,2,1,1,2
462,1,1,1,2,1,2
463,3,3,3,3,3,3
464,3,3,3,1,1,1
465,1,3,3,3,3,1
466,1,1,3,3,1,3
467,3,3,3,3,1,1
468,1,2,1,2,3,2
469,3,3,3,1,3,1
470,3,3,3,3,3,1
471,1,3,3,1,2,1
472,2,1,2,5,1,5
473,1,1,1,1,1,1
474,3,1,1,3,1,1
475,3,1,1,1,3,1
476,1,1,2,1,1,2
477,2,2,1,2,1,1
478,1,1,1,1,1,1
479,1,1,3,1,1,1
480,1,3,1,3,1,1
481,1,2,1,2,5,2
482,1,5,3,3,3,3
483,3,2,1,2,1,3
484,3,3,1,1,3,3
485,3,1,3,1,3,1
486,1,3,1,3,1,3
487,2,2,2,5,1,5
488,1,1,1,1,1,1
489,3,1,3,1,1,1
490,1,1,3,2,5,5
491,3,3,3,1,1,2
492,3,3,3,1,3,1
493,1,2,1,1,5,1
494,1,3,2,1,1,2
495,2,2,2,1,1,3
496,3,3,1,1,3,1
497,1,1,3,1,1,3
498,2,1,2,1,5,1
499,3,3,3,3,3,3
500,5,5,1,3,3,2
501,1,1,3,3,3,1
502,3,2,3,1,1,1
503,2,2,1,2,2,1
504,1,2,2,5,1,5
505,3,1,3,2,1,1
506,3,1,1,1,1,1
507,2,3,3,3,3,1
508,1,2,2,2,1,3
509,1,2,2,3,3,3
510,2,2,3,1,1,1
511,1,1,1,5,1,1
512,1,1,3,2,1,1
513,3,3,3,3,3,3
514,1,5,1,5,5,5
515,2,1,2,2,2,2
516,3,3,3,1,1,1
517,1,3,3,3,1,2
518,1,1,1,1,3,3
519,1,3,3,1,1,1
520,3,3,1,3,3,3
521,2,2,3,2,3,2
522,3,3,3,1,3,1
523,1,1,1,1,1,1
524,1,5,5,2,2,2
525,3,3,3,3,1,3
526,3,3,1,3,3,3
527,1,2,2,2,1,2
528,3,1,3,1,1,1
529,1,1,1,1,1,3
530,3,1,1,5,2,1
531,1,2,2,1,2,2
532,2,3,3,3,3,2
533,2,2,2,2,2,2
534,1,1,3,1,1,1
535,1,3,3,1,1,1
536,2,2,2,1,2,1
537,1,1,1,3,3,3
538,2,1,3,2,1,2
539,3,3,1,5,5,3
540,3,1,3,1,3,3
541,1,2,1,5,2,5
542,3,2,2,5,2,2
543,1,2,3,3,3,1
544,1,3,3,1,2,2
545,1,1,3,1,1,1
546,1,1,2,2,1,3
547,1,3,1,1,1,1
548,1,1,3,1,1,1
549,2,2,5,2,5,5
550,2,3,1,2,1,2
551,3,3,3,1,1,1
552,2,5,1,1,1,2
553,1,1,3,1,1,2
554,1,1,1,1,1,1
555,3,1,1,1,1,3
556,1,1,1,2,1,1
557,3,1,3,1,1,1
558,2,1,1,1,1,2
559,2,2,3,1,2,2
560,1,2,1,1,1,1
561,3,1,1,1,1,1
562,3,3,3,1,1,1
563,3,3,3,3,3,1
564,1,1,1,1,1,1
565,2,1,2,2,2,1
566,1,3,3,1,2,1
567,1,1,1,3,3,3
568,3,1,1,1,1,1
569,2,3,3,2,3,1
570,1,3,3,1,3,1
571,3,1,1,1,3,3
572,1,1,1,1,5,5
573,1,3,1,3,1,1
574,3,1,5,2,5,1
575,2,2,5,2,5,1
576,1,3,1,2,1,1
577,1,2,3,2,3,2
578,1,3,1,1,1,1
579,3,3,3,3,1,1
580,2,2,2,2,3,2
581,3,3,3,3,3,3
582,3,3,3,3,3,3
583,1,1,1,1,1,1
584,2,2,2,2,2,2
585,1,1,2,1,2,1
586,1,1,1,1,1,1
587,1,1,1,1,1,1
588,1,2,2,1,1,2
589,1,3,3,1,1,3
590,2,2,2,2,1,1
591,3,1,1,3,3,3
592,1,3,2,3,3,2
593,1,3,3,1,1,1
594,3,3,3,1,1,1
595,2,2,1,1,1,1
596,3,2,2,3,2,3
597,2,3,2,1,2,1
598,2,2,2,2,1,1
599,3,3,3,2,1,2
